id_amat;ubicazione;linee;LONG_X_4326;LAT_Y_4326;Location
"10001";"Via Matteotti, 19 prima di Via Cavour";"89";9.14099283805881;45.531514288885;"(45.531514288885, 9.14099283805881)"
"10002";"Via Cavour, 32/e dopo Via Morandi (ACI)";"89";9.14445524902011;45.5323077152054;"(45.5323077152054, 9.14445524902011)"
"10003";"Via Bovisasca, 18 dopo Via C.Battisti";"89";9.14825811356355;45.5269056419745;"(45.5269056419745, 9.14825811356355)"
"10008";"Via Bovisasca, 15/A prima di Via Baracca";"89";9.14845459686128;45.5267523716748;"(45.5267523716748, 9.14845459686128)"
"10009";Via Rimembranze prima di Via Cornicione;"89";9.14378251859866;45.5300346694034;"(45.5300346694034, 9.14378251859866)"
"10018";"C.so Sempione, 83 prima di Via E. Filiberto";"48";9.15805393535533;45.4862832229448;"(45.4862832229448, 9.15805393535533)"
"10021";Viale Alfa Romeo fronte civico 17;"561";9.05271297848242;45.5584077178554;"(45.5584077178554, 9.05271297848242)"
"10022";Via Mosca prima V.Val Cavallina;"63";9.07121724023576;45.4521407595921;"(45.4521407595921, 9.07121724023576)"
"10023";Via Mosca prima di Via Spinazzola;"63";9.07367294128026;45.4535928773327;"(45.4535928773327, 9.07367294128026)"
"10024";"Via Mosca, 42 dopo Via Spinazzola";"63";9.07351631155611;45.4536199809034;"(45.4536199809034, 9.07351631155611)"
"10025";Viale Alfa Romeo dopo Museo Alfa Romeo;"561";9.05247068515477;45.557030856952;"(45.557030856952, 9.05247068515477)"
"10026";Via Bergognone dopo via Foppa;"68";9.16100174558984;45.457666361233;"(45.457666361233, 9.16100174558984)"
"10027";Via dei Salici dopo 6;"63,151";9.07940169892709;45.4530939984657;"(45.4530939984657, 9.07940169892709)"
"10028";"Via degli Ontani, 26 dopo Via degli Ulivi";"63,151";9.0787224515814;45.4543636130798;"(45.4543636130798, 9.0787224515814)"
"10029";Via dei Salici dopo Via degli Ippocastani;"63,151";9.08085577973084;45.4515133000142;"(45.4515133000142, 9.08085577973084)"
"10030";"Via Fermi, 19";"423";9.07375504965532;45.4749792530384;"(45.4749792530384, 9.07375504965532)"
"10031";"Via Fermi, 17";"423";9.07386352762449;45.4747721601411;"(45.4747721601411, 9.07386352762449)"
"10032";Via Fermi prima di Via Galvani;"423";9.07622807402365;45.4730604223276;"(45.4730604223276, 9.07622807402365)"
"10033";Via Fermi prima di Via Ampere;"423";9.07620108741544;45.4732089568875;"(45.4732089568875, 9.07620108741544)"
"10034";"Via Fermi, 31 dopo Via Einstein";"423";9.07106293091947;45.4770376809574;"(45.4770376809574, 9.07106293091947)"
"10035";Via Fermi dopo di Via Volta;"423";9.07080429604443;45.4773978808688;"(45.4773978808688, 9.07080429604443)"
"10036";Via Turbigo prima di Via Novara;"80";9.07168683593632;45.489854705215;"(45.489854705215, 9.07168683593632)"
"10037";Via Novara prima di Via Novara;"80";9.07296302636433;45.4891921577325;"(45.4891921577325, 9.07296302636433)"
"10038";"Via Zanzottera, prima di Via Anghileri";"80";9.07283613706116;45.4927177871447;"(45.4927177871447, 9.07283613706116)"
"10040";Via Bergognone prima di Via Foppa;"68";9.16139240149083;45.4577613120453;"(45.4577613120453, 9.16139240149083)"
"10041";Via Morelli dopo Via Silla;"80";9.07685656656352;45.4931592188533;"(45.4931592188533, 9.07685656656352)"
"10043";Via Novara altezza ingresso (Parco auto rimosse);"80";9.07855730979323;45.4867728606457;"(45.4867728606457, 9.07855730979323)"
"10046";"Via Valsesia, 66";"58";9.09522877487906;45.4539058658451;"(45.4539058658451, 9.09522877487906)"
"10047";Via Valsesia fronte 66;"58";9.09550495082518;45.4537442834606;"(45.4537442834606, 9.09550495082518)"
"10048";"Via Valsesia, 44";"58";9.1002439109849;45.4526927768548;"(45.4526927768548, 9.1002439109849)"
"10049";Via Valsesia fronte 44;"58";9.10000782732131;45.4525094608835;"(45.4525094608835, 9.10000782732131)"
"10050";"Via Valsesia, 34 dopo Via Nitti";"58";9.10082030495406;45.4542653018793;"(45.4542653018793, 9.10082030495406)"
"10051";Via Valsesia fronte 34 prima di Via Nitti;"58";9.10088924628495;45.4543777541852;"(45.4543777541852, 9.10088924628495)"
"10052";Via Lucca fronte 58 dopo Via Viterbo;"58";9.10420680382404;45.4545818094378;"(45.4545818094378, 9.10420680382404)"
"10053";Via Lucca prima di Via Viterbo;"58";9.10391321328907;45.4548881113018;"(45.4548881113018, 9.10391321328907)"
"10054";"Via Lucca, 46";"58";9.10688489077799;45.4547683645344;"(45.4547683645344, 9.10688489077799)"
"10055";Via Lucca fronte 44;"58";9.10712138064536;45.4547096369527;"(45.4547096369527, 9.10712138064536)"
"10057";Via Cividale del Friuli dopo Via Valsesia;"63";9.09869317400597;45.4583221194713;"(45.4583221194713, 9.09869317400597)"
"10059";"Via Forze Armate, 333 dopo Via Palmi";"67,151";9.09842750227651;45.4600055405815;"(45.4600055405815, 9.09842750227651)"
"10060";"Via Forze Armate, 328 prima di Via F.lli di Dio";"67,151";9.0978410765863;45.4601995647835;"(45.4601995647835, 9.0978410765863)"
"10061";"Via Cividale del Friuli, 3 prima di Via Mar Nero";"63";9.10141426849632;45.4588962960575;"(45.4588962960575, 9.10141426849632)"
"10062";Via Cividale del Friuli dopo Via Forze Armate;"63";9.10133592359733;45.4589578784008;"(45.4589578784008, 9.10133592359733)"
"10063";Via Forze Armate fronte 312 prima di Via C. del Friuli;"67,151";9.10099116697951;45.4595487583043;"(45.4595487583043, 9.10099116697951)"
"10064";"Via Forze Armate, 312 dopo Via Cancano";"67,151";9.10151225922436;45.4595858052266;"(45.4595858052266, 9.10151225922436)"
"10065";"Via Forze Armate, 260 dopo Via Nikolajevka";"63,67,151";9.10476776502033;45.4596893844576;"(45.4596893844576, 9.10476776502033)"
"10066";Via Forze Armate dopo Via Nikolajevka;"63,67,151";9.10590635527392;45.4598233532682;"(45.4598233532682, 9.10590635527392)"
"10067";"Via Sella Nuova, 4 dopo Via Forze Armate";"63,151,433";9.10911730228128;45.4601167084087;"(45.4601167084087, 9.10911730228128)"
"10068";"Via Sella Nuova, 11 prima di Via Forze Armate";"63,151,433";9.10945966269614;45.4598243434702;"(45.4598243434702, 9.10945966269614)"
"10069";"Via Forze Armate, 234 prima di Via Barocco";"67";9.10966105491336;45.4606027398747;"(45.4606027398747, 9.10966105491336)"
"10070";"Via Forze Armate, 241 dopo Via Sella Nuova";"67";9.10977191864702;45.4604812908547;"(45.4604812908547, 9.10977191864702)"
"10071";"Via Caldera, 65";"80,423";9.09736346996658;45.4762982883729;"(45.4762982883729, 9.09736346996658)"
"10072";Via Caldera fronte 65;"80,423";9.09713258593516;45.4763719864481;"(45.4763719864481, 9.09713258593516)"
"10073";Via Caldera dopo Via Novara;"80,423";9.10240876444601;45.4787466642183;"(45.4787466642183, 9.10240876444601)"
"10074";"Via Caldera, 1 prima di Via Novara";"80,423";9.10264168519944;45.4788141253584;"(45.4788141253584, 9.10264168519944)"
"10075";Via Cascina Bellaria fronte 90;"64";9.10449526473727;45.4836143192347;"(45.4836143192347, 9.10449526473727)"
"10076";Via Novara fronte 228 prima di Via Luigi Zoja;"64,80,423";9.106462934613;45.4780273810317;"(45.4780273810317, 9.106462934613)"
"10077";Via Milly prima di Via Marchesi;"49,78";9.10658907693717;45.4717580725023;"(45.4717580725023, 9.10658907693717)"
"10078";"Via Milly, 6 dopo Via Marchesi";"49,78";9.10676816487807;45.4718452425796;"(45.4718452425796, 9.10676816487807)"
"10079";"Via Cascina Bellaria, 90";"64";9.10480199629605;45.4834160173112;"(45.4834160173112, 9.10480199629605)"
"10080";"Via Milly, 9";"49,78";9.10626585568052;45.4733605523198;"(45.4733605523198, 9.10626585568052)"
"10081";Via Milly fronte 9;"49,78";9.10642896919211;45.4735159113492;"(45.4735159113492, 9.10642896919211)"
"10082";Via L.Zoia dopo Via F.lli Zoia;"49,78";9.10742828908903;45.47414905477;"(45.47414905477, 9.10742828908903)"
"10083";Via L.Zoia prima di Via F.lli Zoia;"49,78";9.10792239024607;45.4740880856992;"(45.4740880856992, 9.10792239024607)"
"10084";Via Novara fronte 201 prima di Via C.na Bellaria;"64,80,423";9.10884130456688;45.4774354280017;"(45.4774354280017, 9.10884130456688)"
"10085";Via Pio II prima di Via F.lli Zoia;"49";9.10994505587079;45.4697971814226;"(45.4697971814226, 9.10994505587079)"
"10086";Via F.lli Zoia fronte 105 prima di Via Rossellini;"49,78";9.10939358344477;45.4702242492769;"(45.4702242492769, 9.10939358344477)"
"10087";Via Marchesi dopo 9 prima di Via F.lli Zoia;"49,78";9.10866101591376;45.4714770950931;"(45.4714770950931, 9.10866101591376)"
"10089";Via Cannizzaro dopo Via C.Marx;"49,78";9.10930215277769;45.4743131351383;"(45.4743131351383, 9.10930215277769)"
"10090";"Via F.lli Gorlini, 43 prima di P.za Scolari";"64";9.10114311138176;45.4909756325701;"(45.4909756325701, 9.10114311138176)"
"10091";Via F.lli Gorlini fronte 7;"64";9.10145596592916;45.4892713352739;"(45.4892713352739, 9.10145596592916)"
"10092";"Via F.lli Gorlini, 7";"64";9.10126016928252;45.4893418511118;"(45.4893418511118, 9.10126016928252)"
"10093";"Via F.lli Gorlini, 40 fronte P.za Scolari";"64";9.10131693710423;45.4906739462006;"(45.4906739462006, 9.10131693710423)"
